时间 (s),薄膜厚度 (m),温度 (K)
5.460000000000003,0.0005437500000000001,367.81914568566447
5.480000000000003,0.0005437500000000001,367.6627210153157
5.500000000000003,0.0005437500000000001,367.5105315430211
5.520000000000003,0.0005437500000000001,367.36242513169907
5.540000000000003,0.0005437500000000001,367.2182405326012
5.560000000000003,0.0005437500000000001,367.0778419556724
5.580000000000003,0.0005437500000000001,366.9410720181846
5.600000000000003,0.0005437500000000001,366.8078098837584
5.620000000000003,0.0005437500000000001,366.6779031342925
5.640000000000003,0.0005437500000000001,366.5512444170031
5.660000000000003,0.0005437500000000001,366.4276870046155
5.680000000000003,0.0005437500000000001,366.3071357358881
5.700000000000003,0.0005437500000000001,366.1894498914348
5.720000000000003,0.0005437500000000001,366.0745454684028
5.740000000000003,0.0005437500000000001,365.96228771776975
5.760000000000003,0.0005437500000000001,365.85260300532326
5.780000000000003,0.0005437500000000001,365.74536225568124
5.8000000000000025,0.0005437500000000001,365.6405015977208
5.820000000000003,0.0005437500000000001,365.53789717693905
5.840000000000003,0.0005437500000000001,365.43749439349097
5.860000000000003,0.0005437500000000001,365.339174097027
5.880000000000003,0.0005437500000000001,365.24289051701106
5.900000000000003,0.0005437500000000001,365.14852869885453
5.9200000000000035,0.0005437500000000001,365.0560512599282
5.940000000000003,0.0005437500000000001,364.96534699172946
5.960000000000003,0.0005437500000000001,364.8763864261013
5.980000000000003,0.0005437500000000001,364.78906173974843
6.0000000000000036,0.0005437500000000001,364.7033508563166
4.8000000000000025,0.0005625000000000001,375.84157720043044
4.820000000000002,0.0005625000000000001,375.98310892661834
4.8400000000000025,0.0005625000000000001,376.02100071523165
4.860000000000002,0.0005625000000000001,375.88762198478696
4.880000000000003,0.0005625000000000001,375.62602228531847
4.900000000000002,0.0005625000000000001,375.3165349198241
4.920000000000003,0.0005625000000000001,374.982202528374
4.940000000000002,0.0005625000000000001,374.63437797808234
4.960000000000003,0.0005625000000000001,374.28609788274053
4.980000000000002,0.0005625000000000001,373.93934404302627
5.000000000000003,0.0005625000000000001,373.5985379045614
5.020000000000002,0.0005625000000000001,373.2651118891702
5.040000000000003,0.0005625000000000001,372.9396337769283
5.060000000000002,0.0005625000000000001,372.6232584481692
5.080000000000003,0.0005625000000000001,372.3156583796536
5.100000000000002,0.0005625000000000001,372.0175030522796
5.120000000000003,0.0005625000000000001,371.72826770421807
5.140000000000002,0.0005625000000000001,371.4481193317146
5.160000000000003,0.0005625000000000001,371.17665910640824
5.180000000000002,0.0005625000000000001,370.91374766786925
5.200000000000003,0.0005625000000000001,370.659083319954
5.220000000000002,0.0005625000000000001,370.41240794888836
5.240000000000003,0.0005625000000000001,370.1734432747442
5.2600000000000025,0.0005625000000000001,369.94192855937564
5.280000000000003,0.0005625000000000001,369.71756209922563
5.3000000000000025,0.0005625000000000001,369.500135224924
5.320000000000003,0.0005625000000000001,369.2893060138472
5.3400000000000025,0.0005625000000000001,369.0849341458117
5.360000000000003,0.0005625000000000001,368.88663938669015
5.380000000000003,0.0005625000000000001,368.69434654918086
5.400000000000003,0.0005625000000000001,368.5076471338785
5.420000000000003,0.0005625000000000001,368.3265204459872
5.440000000000003,0.0005625000000000001,368.1505412041114
5.460000000000003,0.0005625000000000001,367.9797316444224
5.480000000000003,0.0005625000000000001,367.8136593235806
5.500000000000003,0.0005625000000000001,367.6523797691192
5.520000000000003,0.0005625000000000001,367.4954600647782
5.540000000000003,0.0005625000000000001,367.3429820646016
5.560000000000003,0.0005625000000000001,367.19451628299623
5.580000000000003,0.0005625000000000001,367.0501663374469
5.600000000000003,0.0005625000000000001,366.909507956135
5.620000000000003,0.0005625000000000001,366.772663700818
5.640000000000003,0.0005625000000000001,366.63921495332306
5.660000000000003,0.0005625000000000001,366.5093014462051
5.680000000000003,0.0005625000000000001,366.38250999638905
5.700000000000003,0.0005625000000000001,366.25899619903936
5.720000000000003,0.0005625000000000001,366.1383519425249
5.740000000000003,0.0005625000000000001,366.0207474299725
5.760000000000003,0.0005625000000000001,365.90577944517895
5.780000000000003,0.0005625000000000001,365.79363135011545
5.8000000000000025,0.0005625000000000001,365.68390501234535
5.820000000000003,0.0005625000000000001,365.57679519554097
5.840000000000003,0.0005625000000000001,365.47190946120105
5.860000000000003,0.0005625000000000001,365.36945189419725
5.880000000000003,0.0005625000000000001,365.26903675734457
5.900000000000003,0.0005625000000000001,365.1708751016258
5.9200000000000035,0.0005625000000000001,365.0745892213144
5.940000000000003,0.0005625000000000001,364.9803945884203
5.960000000000003,0.0005625000000000001,364.887923082452
5.980000000000003,0.0005625000000000001,364.797391960504
6.0000000000000036,0.0005625000000000001,364.7084443591833
4.8000000000000025,0.0005812500000000001,377.17839975793675
4.820000000000002,0.0005812500000000001,377.2899563118171
4.8400000000000025,0.0005812500000000001,377.2451475094397
4.860000000000002,0.0005812500000000001,376.98414381618903
4.880000000000003,0.0005812500000000001,376.60810785877874
4.900000000000002,0.0005812500000000001,376.20886013735134
4.920000000000003,0.0005812500000000001,375.79334162711046
4.940000000000002,0.0005812500000000001,375.3774069252217
4.960000000000003,0.0005812500000000001,374.97006070740883
4.980000000000002,0.0005812500000000001,374.57055307740455
5.000000000000003,0.0005812500000000001,374.18406714872964
5.020000000000002,0.0005812500000000001,373.8089384039962
5.040000000000003,0.0005812500000000001,373.446489648948
5.060000000000002,0.0005812500000000001,373.0962870134231
5.080000000000003,0.0005812500000000001,372.7580323896354
5.100000000000002,0.0005812500000000001,372.43184986676823
5.120000000000003,0.0005812500000000001,372.11673321539456
5.140000000000002,0.0005812500000000001,371.8128440360451
5.160000000000003,0.0005812500000000001,371.5192349342967
5.180000000000002,0.0005812500000000001,371.23584782387
5.200000000000003,0.0005812500000000001,370.9620076104339
5.220000000000002,0.0005812500000000001,370.69742468789667
5.240000000000003,0.0005812500000000001,370.44168563678403
5.2600000000000025,0.0005812500000000001,370.194341059227
5.280000000000003,0.0005812500000000001,369.95516611597077
5.3000000000000025,0.0005812500000000001,369.72362964947035
5.320000000000003,0.0005812500000000001,369.49962363025844
5.3400000000000025,0.0005812500000000001,369.2825929364104
5.360000000000003,0.0005812500000000001,369.07249502326493
5.380000000000003,0.0005812500000000001,368.86878473292916
5.400000000000003,0.0005812500000000001,368.671454994313
5.420000000000003,0.0005812500000000001,368.4799854651159
5.440000000000003,0.0005812500000000001,368.2943906764923
5.460000000000003,0.0005812500000000001,368.114177449142
5.480000000000003,0.0005812500000000001,367.93937818486455
5.500000000000003,0.0005812500000000001,367.76952244043935
5.520000000000003,0.0005812500000000001,367.6046619731785
5.540000000000003,0.0005812500000000001,367.4443420221771
5.560000000000003,0.0005812500000000001,367.28863698315183
5.580000000000003,0.0005812500000000001,367.13710071815586
5.600000000000003,0.0005812500000000001,366.9898332717904
5.620000000000003,0.0005812500000000001,366.84639148495177
5.640000000000003,0.0005812500000000001,366.7069027363775
5.660000000000003,0.0005812500000000001,366.57092319921577
5.680000000000003,0.0005812500000000001,366.4386075812096
5.700000000000003,0.0005812500000000001,366.3095097906866
5.720000000000003,0.0005812500000000001,366.1838102230854
5.740000000000003,0.0005812500000000001,366.0610607278145
5.760000000000003,0.0005812500000000001,365.94146438846735
5.780000000000003,0.0005812500000000001,365.8245726194345
5.8000000000000025,0.0005812500000000001,365.7106072047768
5.820000000000003,0.0005812500000000001,365.5991217449561
5.840000000000003,0.0005812500000000001,365.49035212897525
5.860000000000003,0.0005812500000000001,365.38385736535
5.880000000000003,0.0005812500000000001,365.27988258888627
5.900000000000003,0.0005812500000000001,365.1779956984232
